Title,Author,Genre,Height,Publisher,book_id
Justice League: The Villain's Journey,,comic,258,,148
"Death of Superman, The",,comic,258,,149
History of the DC Universe,,comic,258,,150
Batman: The Long Halloween,,comic,258,,151
"Life in Letters, A","Steinbeck, John",nonfiction,196,,152
"Information, The","Gleick, James",science,233,,153
"Journal of Economics, vol 106 No 3",,economics,235,,154
Elements of Information Theory,"Thomas, Joy",data_science,229,,155
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,,156
Power Electronics - Mohan,"Mohan, Ned",computer_science,237,,157
Neural Networks,"Haykin, Simon",data_science,240,,158
"Grapes of Wrath, The","Steinbeck, John",fiction,196,,159
Vyakti ani Valli,"Deshpande, P L",nonfiction,211,,160
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,,161
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,,162
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,180,,163
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,,164
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,,165
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history,180,,166
Mossad,"Baz-Zohar, Michael",history,236,,167
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,,168
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,,169
Batatyachi Chal,Deshpande P L,fiction,200,,170
Hafasavnuk,Deshpande P L,fiction,211,,171
Urlasurla,Deshpande P L,fiction,211,,172
Pointers in C,"Kanetkar, Yashwant",computer_science,213,,173
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,,174
Design with OpAmps,"Franco, Sergio",computer_science,240,,175
Think Complexity,"Downey, Allen",data_science,230,,176
"Devil's Advocate, The","West, Morris",fiction,178,,177
Ayn Rand Answers,"Rand, Ayn",philosophy,203,,178
Philosophy: Who Needs It,"Rand, Ayn",philosophy,171,,179
"World's Great Thinkers, The",,philosophy,189,,180
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,230,,181
Broca's Brain,"Sagan, Carl",science,174,,182
Men of Mathematics,"Bell, E T",mathematics,217,,183
Oxford book of Modern Science Writing,"Dawkins, Richard",science,240,,184
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,224,,185
"Arthashastra, The",Kautiyla,philosophy,214,,186
We the People,Palkhivala,philosophy,216,,187
We the Nation,Palkhivala,philosophy,216,,188
"Courtroom Genius, The",Sorabjee,nonfiction,217,,189
Dongri to Dubai,"Zaidi, Hussain",nonfiction,216,,190
